dataset_id,heldout_batch,method,model_seed,class,precision,recall,f1,support,coverage,readout
immune_cell_human,10X,sclsc_refonly,40,CD14+ Monocytes,0.9763710618436406,0.9878984651711924,0.9821009389671361,3388,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,CD16+ Monocytes,0.8984375,0.9478021978021978,0.9224598930481284,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,CD20+ B cells,0.9934895833333334,0.9870633893919794,0.9902660609993511,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,CD4+ T cells,0.9675566069618114,0.9748042219952332,0.9711668928086838,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,CD8+ T cells,0.8479381443298969,0.94,0.8915989159891599,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,HSPCs,1.0,0.75,0.8571428571428571,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,Megakaryocyte progenitors,0.6363636363636364,1.0,0.7777777777777778,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,Monocyte-derived dendritic cells,1.0,0.6593406593406593,0.7947019867549668,182,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,NK cells,0.9567307692307693,0.7896825396825397,0.8652173913043478,756,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,NKT cells,0.8324607329842932,0.9034090909090909,0.8664850136239782,1056,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,Plasma cells,1.0,0.5,0.6666666666666666,18,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,40,Plasmacytoid dendritic cells,1.0,0.9753086419753086,0.9875,81,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,CD14+ Monocytes,0.9756733275412685,0.994391971664699,0.9849437216781173,3388,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,CD16+ Monocytes,0.9538904899135446,0.9093406593406593,0.9310829817158931,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,CD20+ B cells,0.9961089494163424,0.9935316946959897,0.9948186528497409,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,CD4+ T cells,0.9504459861248761,0.9795709908069459,0.9647887323943662,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,CD8+ T cells,0.8084577114427861,0.9285714285714286,0.8643617021276596,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,HSPCs,1.0,0.7142857142857143,0.8333333333333334,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,Megakaryocyte progenitors,0.6774193548387096,1.0,0.8076923076923077,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,Monocyte progenitors,0.0,0.0,0.0,0,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,Monocyte-derived dendritic cells,1.0,0.7197802197802198,0.8370607028753994,182,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,NK cells,0.9621087314662273,0.7724867724867724,0.8569332355099046,756,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,NKT cells,0.8297674418604651,0.8446969696969697,0.8371656499296105,1056,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,Plasma cells,1.0,0.5555555555555556,0.7142857142857143,18,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,41,Plasmacytoid dendritic cells,1.0,1.0,1.0,81,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,CD14+ Monocytes,0.9838567654828295,0.9893742621015348,0.986607799852833,3388,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,CD16+ Monocytes,0.9177718832891246,0.9505494505494505,0.9338731443994602,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,CD20+ B cells,0.9967341606792945,0.9870633893919794,0.991875203119922,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,CD4+ T cells,0.9707781175671084,0.9727613210759278,0.9717687074829932,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,CD8+ T cells,0.8405063291139241,0.9485714285714286,0.8912751677852349,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,HSPCs,1.0,0.8214285714285714,0.9019607843137255,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,Megakaryocyte progenitors,0.75,1.0,0.8571428571428571,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,Monocyte-derived dendritic cells,0.9931506849315068,0.7967032967032966,0.8841463414634146,182,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,NK cells,0.9554140127388535,0.7936507936507936,0.8670520231213873,756,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,NKT cells,0.8206896551724138,0.9015151515151515,0.8592057761732852,1056,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,Plasma cells,1.0,0.4444444444444444,0.6153846153846154,18,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,42,Plasmacytoid dendritic cells,1.0,1.0,1.0,81,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD14+ Monocytes,0.9823425544437905,0.9852420306965761,0.9837901562039493,3388,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD16+ Monocytes,0.8791773778920309,0.9395604395604396,0.9083665338645418,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD20+ B cells,0.9954188481675392,0.9838292367399741,0.9895901106050748,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD4+ T cells,0.9742023082145281,0.9771876064010896,0.9756926738058813,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD8+ T cells,0.8222222222222222,0.9514285714285714,0.8821192052980132,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,HSPCs,1.0,0.6785714285714286,0.8085106382978723,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Megakaryocyte progenitors,0.65625,1.0,0.7924528301886793,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Monocyte progenitors,0.0,0.0,0.0,0,,common_distance_weighted_15nn
