dataset_id,heldout_batch,method,model_seed,readout,macro_f1,balanced_accuracy,coverage,assigned_only_macro_f1,assigned_only_accuracy,n_fitting,n_reference,n_query,embedding_dimension,classes_json,confusion_matrix_json,artifact_path,artifact_sha256,total_wall_seconds,peak_rss_mb,reference_build_seconds,query_mapping_seconds,artifact_source_scope
immune_cell_human,10X,sclsc_refonly,40,common_distance_weighted_15nn,0.8810903662569212,0.8679424338556835,1.0,,,22779.0,22779,10727,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3347, 39, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0], [19, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1526, 3, 3, 0, 1, 0, 6, 7, 0, 0], [0, 0, 0, 2863, 42, 0, 6, 0, 0, 26, 0, 0], [0, 0, 0, 21, 329, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 21, 5, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0], [62, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 597, 157, 0, 0], [0, 0, 0, 67, 14, 0, 0, 0, 21, 954, 0, 0], [0, 0, 7, 1, 0, 0, 0, 0, 0, 1, 9, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 79]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_40/embedding.npz,f3ddb116863a80979ddbd36a848a619daca6a59ccc0318b7677b458f966e002f,,,,,
immune_cell_human,10X,sclsc_refonly,41,common_distance_weighted_15nn,0.8174205180301575,0.8676843314070793,1.0,,,22779.0,22779,10727,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3369, 16, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [33, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1536, 3, 0, 0, 0, 0, 0, 1, 6, 0, 0], [0, 0, 0, 2877, 49, 0, 4, 0, 0, 0, 7, 0, 0], [0, 0, 0, 25, 325, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 20, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [51, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 584, 170, 0, 0], [0, 0, 0, 114, 28, 0, 0, 0, 0, 22, 892, 0, 0], [0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 10, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_41/embedding.npz,761fc01101d14ef4078f12ca43211326bc1f69086255cdf59b046377ad4b7f37,,,,,
immune_cell_human,10X,sclsc_refonly,42,common_distance_weighted_15nn,0.8966910350199773,0.8838385091193817,1.0,,,22779.0,22779,10727,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3352, 31, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0], [18, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1526, 5, 0, 0, 0, 0, 2, 13, 0, 0], [0, 0, 0, 2857, 40, 0, 3, 0, 0, 37, 0, 0], [0, 0, 0, 17, 332, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 23, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0], [37, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 600, 153, 0, 0], [0, 0, 0, 55, 23, 0, 0, 0, 26, 952, 0, 0], [0, 0, 5, 2, 0, 0, 0, 0, 0, 3, 8, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_42/embedding.npz,ef88eb20bc93ef7c4ccd08a58a49c886de8a3805be109645a2990f2fb600a7d0,,,,,
immune_cell_human,10X,sclsc_refonly,43,common_distance_weighted_15nn,0.8236969180640371,0.885328523842032,1.0,,,22779.0,22779,10727,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3338, 47, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0], [22, 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1521, 4, 0, 0, 0, 0, 0, 15, 6, 0, 0], [0, 0, 0, 2870, 37, 0, 5, 0, 0, 0, 25, 0, 0], [0, 0, 0, 16, 333, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 19, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [38, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 599, 156, 0, 0], [0, 0, 0, 52, 35, 0, 0, 0, 0, 50, 919, 0, 0], [0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_43/embedding.npz,3608d82c5acfb1893f0d35ece467aa824880f53b1bf0fdcefd7eb5040ebedb25,,,,,
immune_cell_human,10X,sclsc_refonly,44,common_distance_weighted_15nn,0.8903457845222209,0.8747784320582883,1.0,,,22779.0,22779,10727,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[3334, 53, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [19, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1530, 4, 1, 0, 0, 0, 1, 10, 0, 0], [0, 0, 0, 2885, 37, 0, 4, 0, 1, 10, 0, 0], [0, 0, 0, 37, 312, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 22, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0], [50, 1, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 582, 174, 0, 0], [0, 0, 0, 98, 28, 0, 0, 0, 10, 920, 0, 0], [0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 10, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_10X/seed_44/embedding.npz,62fd53ef1a2198dd2a72d109263581034d0faa8dad5025f5acbf899aa5fcf684,,,,,
immune_cell_human,Oetjen_A,sclsc_refonly,40,common_distance_weighted_15nn,0.8397340299528477,0.8816453063584474,1.0,,,30920.0,30920,2586,16.0,"[""CD10+ B cells"", ""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""Erythrocytes"", ""Erythroid progenitors"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[75, 0, 0, 4, 6, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0], [0, 340, 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0], [0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 421, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 4, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 177, 6, 0, 0, 0, 0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 0, 4, 84, 0, 22, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 3, 0, 0, 0, 186, 2, 24, 3, 0, 3, 1, 3], [0, 2, 0, 0, 1, 0, 0, 0, 13, 56, 0, 0, 0, 0, 0, 0], [0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 132, 1, 0, 0, 1, 0], [0, 9, 0, 0, 0, 0, 0, 0, 2, 0, 0, 78, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 0, 0], [0, 0, 0, 5, 53, 2, 0, 0, 0, 0, 0, 0, 31, 298, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Oetjen_A/seed_40/embedding.npz,b53fa1c012b4a851efbeab9d044aa0bad330e2fbe7469e6579f16891d5053d83,,,,,
immune_cell_human,Oetjen_A,sclsc_refonly,41,common_distance_weighted_15nn,0.8452303171628079,0.8804049015210812,1.0,,,30920.0,30920,2586,16.0,"[""CD10+ B cells"", ""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""Erythrocytes"", ""Erythroid progenitors"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[78, 0, 0, 2, 0, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0], [0, 339, 2, 0, 3, 0, 0, 0, 0, 0, 1, 4, 1, 0, 0, 0], [0, 1, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 440, 135, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 9, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 1, 179, 4, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 76, 0, 33, 0, 1, 0, 0, 0, 0], [0, 1, 1, 1, 8, 0, 0, 0, 181, 5, 25, 0, 1, 0, 0, 4], [0, 2, 0, 0, 1, 0, 0, 0, 5, 64, 0, 0, 0, 0, 0, 0], [0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 140, 1, 0, 0, 0, 0], [0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 5, 80, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 0, 0], [1, 0, 0, 4, 77, 2, 0, 0, 0, 0, 0, 0, 22, 283, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Oetjen_A/seed_41/embedding.npz,5ad24ac17886f74b563c54d7f5ec0f0085466ebbe0edb2fac07046fafa376322,,,,,
immune_cell_human,Oetjen_A,sclsc_refonly,42,common_distance_weighted_15nn,0.8413894664173607,0.8802728717638768,1.0,,,30920.0,30920,2586,16.0,"[""CD10+ B cells"", ""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""Erythrocytes"", ""Erythroid progenitors"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[71, 0, 0, 2, 5, 2, 0, 0, 6, 0, 5, 0, 0, 0, 0, 0], [0, 338, 3, 0, 1, 0, 0, 0, 0, 0, 2, 5, 0, 1, 0, 0], [0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 427, 148, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 9, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 177, 7, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 3, 77, 0, 30, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 4, 0, 0, 0, 180, 9, 22, 0, 1, 5, 1, 3], [0, 1, 0, 0, 1, 0, 0, 0, 7, 62, 0, 0, 0, 1, 0, 0], [0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 141, 4, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 0, 0], [0, 0, 0, 5, 50, 7, 0, 0, 0, 0, 0, 0, 24, 303, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Oetjen_A/seed_42/embedding.npz,6a66f15ffac9fba1d32867d6990f1bdd44593198f3498a059e43a17e2c73e12c,,,,,
immune_cell_human,Oetjen_A,sclsc_refonly,43,common_distance_weighted_15nn,0.8400309677046648,0.8739302477496803,1.0,,,30920.0,30920,2586,16.0,"[""CD10+ B cells"", ""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""Erythrocytes"", ""Erythroid progenitors"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[76, 0, 0, 2, 2, 1, 0, 0, 8, 0, 2, 0, 0, 0, 0, 0], [0, 341, 2, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 2, 0, 0], [0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 455, 120, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 10, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 179, 5, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 5, 76, 0, 29, 0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 3, 0, 0, 0, 180, 6, 29, 2, 1, 0, 0, 4], [0, 1, 0, 0, 1, 0, 0, 0, 13, 57, 0, 0, 0, 0, 0, 0], [0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 129, 1, 0, 0, 0, 0], [0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0], [0, 0, 0, 4, 67, 5, 1, 0, 0, 0, 0, 0, 26, 286, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Oetjen_A/seed_43/embedding.npz,573f16310ea2edfea9bd5c989496f3f286ae69bbe2208abb7379ac131e0035f6,,,,,
immune_cell_human,Oetjen_A,sclsc_refonly,44,common_distance_weighted_15nn,0.8410874977757108,0.8844591033471301,1.0,,,30920.0,30920,2586,16.0,"[""CD10+ B cells"", ""CD14+ Monocytes"", ""CD16+ Monocytes"", ""CD20+ B cells"", ""CD4+ T cells"", ""CD8+ T cells"", ""Erythrocytes"", ""Erythroid progenitors"", ""HSPCs"", ""Megakaryocyte progenitors"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""NK cells"", ""NKT cells"", ""Plasma cells"", ""Plasmacytoid dendritic cells""]","[[72, 0, 0, 4, 5, 0, 0, 0, 2, 0, 7, 0, 0, 1, 0, 0], [0, 338, 2, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 2, 0, 0], [0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 445, 128, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 8, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 1, 177, 5, 0, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 2, 81, 0, 27, 0, 1, 0, 0, 0, 0], [0, 2, 0, 1, 1, 1, 0, 0, 191, 3, 20, 0, 0, 4, 0, 4], [0, 1, 0, 0, 2, 0, 0, 0, 6, 63, 0, 0, 0, 0, 0, 0], [0, 41, 0, 0, 1, 0, 0, 0, 0, 0, 139, 2, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 0, 0], [0, 1, 0, 4, 70, 3, 0, 0, 0, 0, 0, 0, 42, 269, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Oetjen_A/seed_44/embedding.npz,7a76801d71e1e28b960db8f73db6ad626303358115741651b6f1c82610133b1b,,,,,
immune_cell_human,Villani,sclsc_refonly,40,common_distance_weighted_15nn,0.6152259384828863,0.6818656911418866,1.0,,,32484.0,32484,1022,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""Monocyte-derived dendritic cells"", ""Plasmacytoid dendritic cells""]","[[145, 0, 0, 0], [158, 14, 0, 0], [42, 147, 345, 0], [0, 0, 0, 171]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Villani/seed_40/embedding.npz,686ec5bf04d13ef1e4672cabfa5c9e12d85915a5871ca36c5391dfc9668d2200,,,,,
immune_cell_human,Villani,sclsc_refonly,41,common_distance_weighted_15nn,0.4125104026863226,0.6843768114636175,1.0,,,32484.0,32484,1022,16.0,"[""CD14+ Monocytes"", ""CD16+ Monocytes"", ""HSPCs"", ""Monocyte progenitors"", ""Monocyte-derived dendritic cells"", ""Plasmacytoid dendritic cells""]","[[144, 0, 0, 1, 0, 0], [147, 24, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [45, 162, 0, 0, 323, 4], [0, 0, 0, 0, 0, 171]]",/home/gzou/scib_reproduce/outputs/baseline_extension_v1_1/sclsc_refonly/immune_cell_human/heldout_Villani/seed_41/embedding.npz,276dc7bf1c1ecbd7587bc29ae75cd0613e28acb7a2768dccc5ba0c174a8d6d94,,,,,
