dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query,readout,coverage,assigned_only_macro_f1,assigned_only_accuracy,n_fitting,embedding_dimension,classes_json,confusion_matrix_json,artifact_path,artifact_sha256,total_wall_seconds,peak_rss_mb,reference_build_seconds,query_mapping_seconds,artifact_source_scope
immune_cell_human,heldout,10X,heldout_10X,,40.0,,frozen_reference_scanvi,40.0,0.7655895382404132,0.8952768421965794,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,41.0,,frozen_reference_scanvi,41.0,0.8908788361960203,0.8811353503769367,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,42.0,,frozen_reference_scanvi,42.0,0.8359827719462005,0.90210358467811,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,43.0,,frozen_reference_scanvi,43.0,0.8197250829660276,0.8835936554453783,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,44.0,,frozen_reference_scanvi,44.0,0.8298716155459024,0.8942116865556805,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,40.0,,frozen_reference_scanvi,40.0,0.8432473090045622,0.8863525033248141,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,41.0,,frozen_reference_scanvi,41.0,0.8525472082998684,0.8919158766872937,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,42.0,,frozen_reference_scanvi,42.0,0.8393330568392579,0.8810655763384616,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,43.0,,frozen_reference_scanvi,43.0,0.8472768872213701,0.8931223910578665,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,44.0,,frozen_reference_scanvi,44.0,0.8602098328434433,0.89659307002555,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,40.0,,frozen_reference_scanvi,40.0,0.4497206387808892,0.7347317457027953,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,41.0,,frozen_reference_scanvi,41.0,0.5467652213838087,0.7405962324560218,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,42.0,,frozen_reference_scanvi,42.0,0.4448118563251917,0.7214559136684597,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,43.0,,frozen_reference_scanvi,43.0,0.5446215661373073,0.7383790760747141,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,44.0,,frozen_reference_scanvi,44.0,0.4761120348120389,0.7642479028319653,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,40.0,,frozen_reference_scanvi,40.0,0.6802251012927455,0.8380748388012311,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,41.0,,frozen_reference_scanvi,41.0,0.7251973785168073,0.8800899665306445,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,42.0,,frozen_reference_scanvi,42.0,0.7082105044905959,0.8675596397146034,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,43.0,,frozen_reference_scanvi,43.0,0.7050472994329131,0.8756301406422473,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,3,heldout_3,,44.0,,frozen_reference_scanvi,44.0,0.6977795715348866,0.8605095469502249,32010,462,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,40.0,,frozen_reference_scanvi,40.0,0.5814170289012134,0.8473026489392051,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,41.0,,frozen_reference_scanvi,41.0,0.6715092134032788,0.8651268315823236,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,42.0,,frozen_reference_scanvi,42.0,0.5836713372437529,0.8725594029229976,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,43.0,,frozen_reference_scanvi,43.0,0.5377174208183828,0.8579634540663877,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,4,heldout_4,,44.0,,frozen_reference_scanvi,44.0,0.5883983263897237,0.875817821352368,28709,3763,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,40.0,,frozen_reference_scanvi,40.0,0.6299826219095228,0.9003600047668407,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
lung_atlas,heldout,B1,heldout_B1,,41.0,,frozen_reference_scanvi,41.0,0.6225659810480729,0.8906327030871245,30332,2140,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
