dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query
pancreas,core,,random_seed_40,40.0,40.0,0.0,solar_none,40.0,0.8841844682884011,0.8838416703531414,13104,3278
pancreas,core,,random_seed_41,41.0,41.0,0.0,solar_none,41.0,0.8702461752486864,0.8840306960253015,13104,3278
pancreas,core,,random_seed_42,42.0,42.0,0.0,solar_none,42.0,0.8549179696237149,0.8490154964838725,13104,3278
pancreas,core,,random_seed_43,43.0,43.0,0.0,solar_none,43.0,0.8607695356394425,0.864986044714905,13104,3278
pancreas,core,,random_seed_44,44.0,44.0,0.0,solar_none,44.0,0.8902937759012375,0.8904756408920136,13104,3278
immune_cell_human,core,,random_seed_40,40.0,40.0,0.0,solar_none,40.0,0.9360886401592869,0.9331086930958876,26809,6697
immune_cell_human,core,,random_seed_41,41.0,41.0,0.0,solar_none,41.0,0.9401720422596436,0.9365930915013134,26809,6697
immune_cell_human,core,,random_seed_42,42.0,42.0,0.0,solar_none,42.0,0.9380093033575869,0.9326288844989213,26809,6697
immune_cell_human,core,,random_seed_43,43.0,43.0,0.0,solar_none,43.0,0.9514026411685296,0.9509135493423151,26809,6697
immune_cell_human,core,,random_seed_44,44.0,44.0,0.0,solar_none,44.0,0.9360354184392473,0.935419974983809,26809,6697
lung_atlas,core,,random_seed_40,40.0,40.0,0.0,solar_none,40.0,0.954914928309263,0.9492650486980437,25975,6497
lung_atlas,core,,random_seed_41,41.0,41.0,0.0,solar_none,41.0,0.9560048901705043,0.9526245468145887,25975,6497
lung_atlas,core,,random_seed_42,42.0,42.0,0.0,solar_none,42.0,0.9557369147655379,0.9581148794695712,25975,6497
lung_atlas,core,,random_seed_43,43.0,43.0,0.0,solar_none,43.0,0.9530081483542138,0.9540028978616758,25975,6497
lung_atlas,core,,random_seed_44,44.0,44.0,0.0,solar_none,44.0,0.9477230397902017,0.94209731131668,25975,6497
simulation_1,core,,random_seed_40,40.0,40.0,0.0,solar_none,40.0,0.9980679958980139,0.9964285714285713,9677,2420
simulation_1,core,,random_seed_41,41.0,41.0,0.0,solar_none,41.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_42,42.0,42.0,0.0,solar_none,42.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_43,43.0,43.0,0.0,solar_none,43.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_44,44.0,44.0,0.0,solar_none,44.0,0.9980679958980139,0.9964285714285713,9677,2420
simulation_2,core,,random_seed_40,40.0,40.0,0.0,solar_none,40.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_41,41.0,41.0,0.0,solar_none,41.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_42,42.0,42.0,0.0,solar_none,42.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_43,43.0,43.0,0.0,solar_none,43.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_44,44.0,44.0,0.0,solar_none,44.0,1.0,1.0,15455,3863
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,40.0,0.0,solar_none,40.0,0.8976510895254031,0.8717931835174221,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,41.0,0.0,solar_none,41.0,0.8871777148913655,0.8574701215880549,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,42.0,0.0,solar_none,42.0,0.8639898006041865,0.8593542335784723,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,43.0,0.0,solar_none,43.0,0.7835596134432833,0.7706569347748681,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,44.0,0.0,solar_none,44.0,0.8153437665660151,0.7915123532365917,15744,638
pancreas,heldout,inDrop2,heldout_inDrop2,,40.0,0.0,solar_none,40.0,0.8248414083637348,0.8605517542724112,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,41.0,0.0,solar_none,41.0,0.7798996157008552,0.7984223527023931,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,42.0,0.0,solar_none,42.0,0.8117323432700978,0.8229437891839625,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,43.0,0.0,solar_none,43.0,0.8056297755581291,0.8337009956030652,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,44.0,0.0,solar_none,44.0,0.8144407070304049,0.8458300731870368,14658,1724
pancreas,heldout,inDrop3,heldout_inDrop3,,40.0,0.0,solar_none,40.0,0.8305766378599438,0.852931340733732,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,41.0,0.0,solar_none,41.0,0.8209765040828507,0.8448738955541291,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,42.0,0.0,solar_none,42.0,0.8319324235468609,0.8531702289033688,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,43.0,0.0,solar_none,43.0,0.7820028756856857,0.7827721392395367,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,44.0,0.0,solar_none,44.0,0.8297595301966071,0.8513761901841504,12777,3605
immune_cell_human,heldout,10X,heldout_10X,,40.0,0.0,solar_none,40.0,0.8248313645970469,0.8864270268969938,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,41.0,0.0,solar_none,41.0,0.8357362773898943,0.8974688984430603,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,42.0,0.0,solar_none,42.0,0.8246780758685431,0.8854059225534424,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,43.0,0.0,solar_none,43.0,0.83380842196338,0.8961927012631121,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,44.0,0.0,solar_none,44.0,0.8282738385600854,0.8931675556444402,22779,10727
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,40.0,0.0,solar_none,40.0,0.8488344147160943,0.8728620005638719,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,41.0,0.0,solar_none,41.0,0.8493766679772302,0.8722288261064268,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,42.0,0.0,solar_none,42.0,0.8499567320988808,0.8799545583495831,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,43.0,0.0,solar_none,43.0,0.8506084045596368,0.8711872205643991,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,44.0,0.0,solar_none,44.0,0.8473800832932386,0.8728117677832471,30920,2586
immune_cell_human,heldout,Villani,heldout_Villani,,40.0,0.0,solar_none,40.0,0.5154336696920803,0.6154150485509793,32484,1022
