metric,contrast,paired_n,mean_difference,sd_difference,median_difference,mean_absolute_difference,max_absolute_difference
Label ASW,30D - 128D,25,0.0017673790454864546,0.0058143494775186036,0.003359854221343994,0.005115040540695186,0.01246216893196106
Label ASW,64D - 128D,25,-9.151458740232599e-05,0.0053880087449308485,0.001313239336014016,0.003768651485443124,0.01371273398399342
Label ASW,30D - 64D,25,0.0018588936328887806,0.002785272866986653,0.0024003684520720325,0.002880870103836037,0.007931321859359741
NMI,30D - 128D,25,0.02575150610169458,0.028391557873549546,0.020390832503487832,0.02883581063465094,0.09008899346311372
NMI,64D - 128D,25,0.006969251875985418,0.013773225907194592,0.006282704290825003,0.01213164531328149,0.032595204060407945
NMI,30D - 64D,25,0.01878225422570916,0.023478296114778797,0.009582151037444309,0.02043318482087051,0.08164860810857011
ARI,30D - 128D,25,0.04745544479766261,0.053667560323950966,0.048334095176740866,0.0604021893413875,0.16217463471445048
ARI,64D - 128D,25,0.014141258458561241,0.03349622443853161,0.019545165289778677,0.02798165302706303,0.08891079676931568
ARI,30D - 64D,25,0.03331418633910136,0.042518576174459734,0.026847410134011707,0.04117192058256622,0.13844949219180458
Graph connectivity,30D - 128D,25,0.0006983482763407656,0.03863921528436103,0.0,0.015345714456106338,0.11694656186993879
Graph connectivity,64D - 128D,25,0.006247574974495152,0.03483838072037172,0.0,0.015693204607580648,0.11836279274783024
Graph connectivity,30D - 64D,25,-0.005549226698154386,0.025047028005674456,0.0,0.0112875236392872,0.06797816990679817
iLISI,30D - 128D,25,0.7817117350961661,0.5745172843772185,0.6699279975658654,0.7817117350961661,1.948321169473236
iLISI,64D - 128D,25,0.36513186553903376,0.3146266796438681,0.3285053135515621,0.36513186553903376,1.0213122472918124
iLISI,30D - 64D,25,0.41657986955713233,0.28120783761853113,0.30682129965885174,0.41657986955713233,1.0193431326306093
PCR,30D - 128D,25,0.001864475880852796,0.005344041990597486,0.0009324436113575807,0.00408230936450759,0.014469898101442946
PCR,64D - 128D,25,-0.0013297705030944585,0.0033677403823886612,-0.0016640617868003416,0.002795465647521285,0.00956201021344294
PCR,30D - 64D,25,0.0031942463839472546,0.005517342975433443,0.0019191948951128301,0.004298360414460547,0.013821768078021823
Trajectory,30D - 128D,5,-0.06976232795248527,0.21917764107408128,0.0008686077221926602,0.11179353573240054,0.4538896592122145
Trajectory,64D - 128D,5,0.01845525725838243,0.042898163412976906,0.0006198630985753129,0.022934586910454236,0.09448179551396124
Trajectory,30D - 64D,5,-0.0882175852108677,0.20218569010714943,-0.0004969944948201022,0.09486418583866082,0.44970308904163875
