metric,dimension,n,mean,sd,median,min,max
ARI,30,25,0.44078556856245416,0.06504623231194688,0.4125970105215469,0.3525376687985148,0.5635330074836696
ARI,64,25,0.40747138222335283,0.08778564667163344,0.3833184855264241,0.2715164856011279,0.5320784219075249
ARI,128,25,0.39333012376479154,0.09844569085925077,0.3570766559511398,0.2585098962058251,0.5456540421780856
Graph connectivity,30,25,0.9394140652156173,0.0843968541719364,0.9915977338663003,0.7536082162348109,1.0
Graph connectivity,64,25,0.9449632919137717,0.08403763646055457,0.9913244513052386,0.7546547195679172,1.0
Graph connectivity,128,25,0.9387157169392766,0.08764543298367271,0.990422020021823,0.7547707403229456,1.0
Label ASW,30,25,0.9137606930732727,0.05480082520031643,0.919839769601822,0.8468332588672638,0.9822530448436736
Label ASW,64,25,0.911901799440384,0.055021459990479124,0.9225469529628754,0.8467412889003754,0.9800963401794434
Label ASW,128,25,0.9119933140277863,0.054340920664748604,0.9211086928844452,0.8387460112571716,0.9799640476703644
NMI,30,25,0.7603747593881665,0.04336129851565715,0.7671329803768332,0.6678469368737728,0.8162982586867138
NMI,64,25,0.7415925051624572,0.06276286392555905,0.7561694365759724,0.6210180054396581,0.8099477773148835
NMI,128,25,0.7346232532864718,0.0676704573581491,0.7403991298127228,0.6083722997527318,0.8180307781294592
PCR,30,25,0.7397401597012173,0.18740549980645654,0.7278928731336705,0.4358356255734112,0.9335314895839156
PCR,64,25,0.73654591331727,0.18767112252269214,0.7193776614210142,0.4335850945387498,0.9323165296365474
PCR,128,25,0.7378756838203644,0.18665269416374447,0.7200126675383561,0.4385632746220909,0.9347201448879848
Trajectory,30,5,0.6426623117735965,0.20130011687986232,0.5558394831148675,0.3998737568143323,0.8522256103051438
Trajectory,64,5,0.7308798969844641,0.16845770369907417,0.849576845855971,0.5457166323185731,0.8597299543925062
Trajectory,128,5,0.7124246397260816,0.1949166206779901,0.8513570025829511,0.4512348368046119,0.8537634160265468
iLISI,30,25,1.8527009681402793,0.2948140933615795,1.9778383649353264,1.2811520692468306,2.2460159151913723
iLISI,64,25,1.4361210985831472,0.31720578596765747,1.5052796403734852,0.9361541783054864,1.8921196456114375
iLISI,128,25,1.0709892330441133,0.5157175044258734,1.3290441190018116,0.0826672251082376,1.4842077083386314
